budget,release_date,revenue,vote_average,vote_count,year,Success
16000000,2013-04-03,318982,6.1,291,2013,False
45000000,2009-07-31,57881056,5.3,244,2009,False
18000000,2008-09-04,25739015,6.9,836,2008,False
25000000,1996-09-13,51702483,5.2,101,1996,True
65000000,2014-08-20,39407616,6.3,1286,2014,False
22000000,1977-06-15,50750000,6.9,207,1977,True
5000000,1988-10-21,17768757,5.9,209,1988,True
95000000,2012-06-26,877244782,6.2,2672,2012,True
20000000,2003-01-17,17432163,5.3,83,2003,False
22000000,2016-02-05,63647656,5.7,1309,2016,True
165000000,2012-11-01,471222889,7.1,4570,2012,True
1600000,1949-10-22,5400000,7.1,61,1949,True
45000000,1993-12-16,195268056,6.3,371,1993,True
150000000,2012-03-27,301000000,5.5,1431,2012,True
48000000,2001-07-30,85498534,6.0,518,2001,True
2000000,2010-06-11,13831503,6.8,565,2010,True
858000,1942-08-14,267447150,6.8,1405,1942,True
150000,2002-11-01,2891288,5.5,19,2002,True
7000,2004-10-08,424760,6.9,658,2004,True
35000000,2005-03-25,19478106,5.2,235,2005,False
31000000,2015-07-28,104384188,6.2,1195,2015,True
170000000,2013-10-29,644571402,6.8,4755,2013,True
6500000,1971-03-12,12376563,7.0,190,1971,True
70000000,2009-09-19,171844840,5.3,588,2009,True
325000,1934-02-22,4500000,7.7,275,1934,True
45000000,1994-07-20,117615211,6.4,278,1994,True
80000000,2006-03-23,660940780,6.5,2951,2006,True
14000000,1977-06-17,30749142,4.5,133,1977,True
5500000,1965-12-16,141195658,6.5,562,1965,True
60000000,2008-07-08,50650079,5.0,371,2008,False
15000000,2004-08-10,14867514,6.0,211,2004,False
50000000,2005-06-22,66002004,5.1,542,2005,False
58000000,2012-01-19,50365377,5.9,178,2012,False
70000000,2005-12-22,130358911,6.9,696,2005,True
23000000,1991-08-23,7434726,6.1,82,1991,False
150000000,2010-06-30,318502923,4.7,1151,2010,True
17000000,2004-01-23,16980098,5.5,160,2004,False
